course_id,course_name,department,credits,description,prerequisites,level,status
PSYC357,PSYC Course 357,Mathematics,4,A comprehensive course covering psyc course 357 concepts and applications.,Math 101,Undergraduate,Active
NURS141,NURS Course 141,Health Sciences,2,A comprehensive course covering nurs course 141 concepts and applications.,Math 101,Undergraduate,Inactive
EDUC375,EDUC Course 375,Business,3,A comprehensive course covering educ course 375 concepts and applications.,EDUC275,Undergraduate,Active
EDUC111,EDUC Course 111,Health Sciences,4,A comprehensive course covering educ course 111 concepts and applications.,Math 101,Undergraduate,Active
EDUC153,EDUC Course 153,Fine Arts,4,A comprehensive course covering educ course 153 concepts and applications.,Math 101,Undergraduate,Active
PHYS261,PHYS Course 261,Engineering,4,A comprehensive course covering phys course 261 concepts and applications.,PHYS161,Undergraduate,Inactive
ECON206,ECON Course 206,Liberal Arts,3,A comprehensive course covering econ course 206 concepts and applications.,None,Undergraduate,Active
MUS358,MUS Course 358,Education,1,A comprehensive course covering mus course 358 concepts and applications.,Math 101,Undergraduate,Inactive
MUS106,MUS Course 106,Mathematics,2,A comprehensive course covering mus course 106 concepts and applications.,None,Undergraduate,Inactive
CS482,Data Structures,Business,4,A comprehensive course covering data structures concepts and applications.,None,Undergraduate,Active
CS227,Cybersecurity,Engineering,4,A comprehensive course covering cybersecurity concepts and applications.,CS127,Undergraduate,Active
ENG430,Engineering Design,Mathematics,3,A comprehensive course covering engineering design concepts and applications.,None,Undergraduate,Active
MUS318,MUS Course 318,Computer Science,4,A comprehensive course covering mus course 318 concepts and applications.,None,Undergraduate,Active
EDUC373,EDUC Course 373,Business,4,A comprehensive course covering educ course 373 concepts and applications.,Math 101,Undergraduate,Active
CS245,Software Engineering,Computer Science,2,A comprehensive course covering software engineering concepts and applications.,CS145,Undergraduate,Active
MUS336,MUS Course 336,Liberal Arts,4,A comprehensive course covering mus course 336 concepts and applications.,None,Undergraduate,Active
MUS507,MUS Course 507,Education,4,A comprehensive course covering mus course 507 concepts and applications.,None,Graduate,Inactive
NURS305,NURS Course 305,Engineering,4,A comprehensive course covering nurs course 305 concepts and applications.,None,Undergraduate,Active
MUS278,MUS Course 278,Education,4,A comprehensive course covering mus course 278 concepts and applications.,Math 101,Undergraduate,Inactive
ECON225,ECON Course 225,Liberal Arts,3,A comprehensive course covering econ course 225 concepts and applications.,None,Undergraduate,Active
MUS103,MUS Course 103,Mathematics,4,A comprehensive course covering mus course 103 concepts and applications.,MUS3,Undergraduate,Inactive
BUS287,International Business,Sciences,4,A comprehensive course covering international business concepts and applications.,Math 101,Undergraduate,Active
BUS433,Business Ethics,Social Sciences,4,A comprehensive course covering business ethics concepts and applications.,None,Undergraduate,Inactive
ECON195,ECON Course 195,Mathematics,3,A comprehensive course covering econ course 195 concepts and applications.,None,Undergraduate,Active
CHEM248,CHEM Course 248,Liberal Arts,4,A comprehensive course covering chem course 248 concepts and applications.,Math 101,Undergraduate,Active
ART168,ART Course 168,Education,2,A comprehensive course covering art course 168 concepts and applications.,ART68,Undergraduate,Inactive
ENG333,Thermodynamics,Engineering,4,A comprehensive course covering thermodynamics concepts and applications.,Math 101,Undergraduate,Inactive
NURS432,NURS Course 432,Social Sciences,4,A comprehensive course covering nurs course 432 concepts and applications.,None,Undergraduate,Active
HIST251,American History,Education,1,A comprehensive course covering american history concepts and applications.,HIST151,Undergraduate,Active
MATH135,Abstract Algebra,Business,1,A comprehensive course covering abstract algebra concepts and applications.,None,Undergraduate,Inactive
PHYS424,PHYS Course 424,Liberal Arts,3,A comprehensive course covering phys course 424 concepts and applications.,Math 101,Undergraduate,Active
CHEM524,CHEM Course 524,Sciences,1,A comprehensive course covering chem course 524 concepts and applications.,CHEM424,Graduate,Active
CS196,Cybersecurity,Education,1,A comprehensive course covering cybersecurity concepts and applications.,None,Undergraduate,Inactive
HIST104,European History,Engineering,4,A comprehensive course covering european history concepts and applications.,HIST4,Undergraduate,Active
CHEM168,CHEM Course 168,Education,1,A comprehensive course covering chem course 168 concepts and applications.,CHEM68,Undergraduate,Active
ART238,ART Course 238,Fine Arts,1,A comprehensive course covering art course 238 concepts and applications.,Math 101,Undergraduate,Active
ECON262,ECON Course 262,Liberal Arts,1,A comprehensive course covering econ course 262 concepts and applications.,Math 101,Undergraduate,Inactive
ECON508,ECON Course 508,Computer Science,4,A comprehensive course covering econ course 508 concepts and applications.,ECON408,Graduate,Inactive
MATH455,Calculus I,Health Sciences,2,A comprehensive course covering calculus i concepts and applications.,None,Undergraduate,Active
ECON360,ECON Course 360,Fine Arts,3,A comprehensive course covering econ course 360 concepts and applications.,ECON260,Undergraduate,Active
BUS538,International Business,Liberal Arts,3,A comprehensive course covering international business concepts and applications.,Math 101,Graduate,Inactive
ENG533,Circuit Analysis,Business,4,A comprehensive course covering circuit analysis concepts and applications.,ENG433,Graduate,Active
CS428,Computer Networks,Education,4,A comprehensive course covering computer networks concepts and applications.,None,Undergraduate,Active
NURS296,NURS Course 296,Sciences,4,A comprehensive course covering nurs course 296 concepts and applications.,None,Undergraduate,Active
MATH584,Statistics,Health Sciences,4,A comprehensive course covering statistics concepts and applications.,Math 101,Graduate,Active
PSYC352,PSYC Course 352,Liberal Arts,4,A comprehensive course covering psyc course 352 concepts and applications.,PSYC252,Undergraduate,Inactive
ART482,ART Course 482,Mathematics,4,A comprehensive course covering art course 482 concepts and applications.,None,Undergraduate,Active
HIST307,European History,Fine Arts,4,A comprehensive course covering european history concepts and applications.,None,Undergraduate,Active
BUS219,International Business,Computer Science,4,A comprehensive course covering international business concepts and applications.,None,Undergraduate,Active
PHYS198,PHYS Course 198,Education,4,A comprehensive course covering phys course 198 concepts and applications.,PHYS98,Undergraduate,Active
ENG379,Fluid Mechanics,Social Sciences,2,A comprehensive course covering fluid mechanics concepts and applications.,ENG279,Undergraduate,Active
NURS185,NURS Course 185,Computer Science,3,A comprehensive course covering nurs course 185 concepts and applications.,None,Undergraduate,Active
EDUC545,EDUC Course 545,Liberal Arts,1,A comprehensive course covering educ course 545 concepts and applications.,Math 101,Graduate,Active
MUS434,MUS Course 434,Mathematics,4,A comprehensive course covering mus course 434 concepts and applications.,MUS334,Undergraduate,Active
CS237,Web Development,Business,1,A comprehensive course covering web development concepts and applications.,None,Undergraduate,Inactive
MUS402,MUS Course 402,Sciences,1,A comprehensive course covering mus course 402 concepts and applications.,Math 101,Undergraduate,Active
ENG238,Structural Analysis,Liberal Arts,4,A comprehensive course covering structural analysis concepts and applications.,Math 101,Undergraduate,Active
CS418,Machine Learning,Health Sciences,3,A comprehensive course covering machine learning concepts and applications.,None,Undergraduate,Active
ENG484,Structural Analysis,Education,4,A comprehensive course covering structural analysis concepts and applications.,None,Undergraduate,Inactive
ENG481,Circuit Analysis,Sciences,4,A comprehensive course covering circuit analysis concepts and applications.,ENG381,Undergraduate,Active
ENG190,Structural Analysis,Business,4,A comprehensive course covering structural analysis concepts and applications.,ENG90,Undergraduate,Active
ENG248,Thermodynamics,Sciences,4,A comprehensive course covering thermodynamics concepts and applications.,Math 101,Undergraduate,Active
ENG314,Thermodynamics,Business,4,A comprehensive course covering thermodynamics concepts and applications.,Math 101,Undergraduate,Active
CS198,Web Development,Social Sciences,4,A comprehensive course covering web development concepts and applications.,CS98,Undergraduate,Active
MUS295,MUS Course 295,Liberal Arts,1,A comprehensive course covering mus course 295 concepts and applications.,MUS195,Undergraduate,Active
ENG379,Circuit Analysis,Fine Arts,4,A comprehensive course covering circuit analysis concepts and applications.,Math 101,Undergraduate,Active
CS578,Algorithms,Computer Science,1,A comprehensive course covering algorithms concepts and applications.,Math 101,Graduate,Active
NURS505,NURS Course 505,Liberal Arts,4,A comprehensive course covering nurs course 505 concepts and applications.,NURS405,Graduate,Active
BUS392,Business Ethics,Liberal Arts,4,A comprehensive course covering business ethics concepts and applications.,Math 101,Undergraduate,Active
CS273,Machine Learning,Fine Arts,4,A comprehensive course covering machine learning concepts and applications.,CS173,Undergraduate,Active
CS149,Machine Learning,Liberal Arts,2,A comprehensive course covering machine learning concepts and applications.,CS49,Undergraduate,Active
CS508,Machine Learning,Liberal Arts,4,A comprehensive course covering machine learning concepts and applications.,CS408,Graduate,Active
HIST485,World History,Fine Arts,2,A comprehensive course covering world history concepts and applications.,None,Undergraduate,Active
BUS204,Strategic Management,Social Sciences,4,A comprehensive course covering strategic management concepts and applications.,None,Undergraduate,Inactive
BUS435,Operations Management,Fine Arts,2,A comprehensive course covering operations management concepts and applications.,None,Undergraduate,Active
