book_id,isbn,title,author,publisher,publication_year,genre,pages,copies_total,copies_available,location,status
BK000030,978-5777000212,Introduction to Mathematics,Lisa Jackson,Cambridge,2005,Literature,236,4,1,"Floor 3, Section B",Checked Out
BK000031,978-5549819384,Modern Computer Science,Robert Lee,Cengage,2006,Computer Science,356,4,8,"Floor 2, Section C",Available
BK000032,978-7525703942,Introduction to History,Linda Wilson,Pearson,2020,Computer Science,355,4,1,"Floor 2, Section C",Available
BK000033,978-1808628319,Advanced Art,Edward Miller,McGraw-Hill,2006,Science,305,8,8,"Floor 3, Section A",Available
BK000034,978-9308715294,Modern History,George Harris,Pearson,2016,Science,449,3,3,"Floor 3, Section A",Available
BK000035,978-4680934446,Modern Business,Nancy Ramirez,Cambridge,2021,Science,404,5,7,"Floor 3, Section A",Checked Out
BK000036,978-7174126787,Modern Science,Deborah Hernandez,Pearson,2019,Art,403,1,1,"Floor 2, Section C",Checked Out
BK000037,978-6341521749,Advanced Art,Susan Young,Cambridge,2005,History,473,1,7,"Floor 3, Section A",Available
BK000038,978-8579592877,Advanced History,Jennifer Martinez,McGraw-Hill,2013,Art,578,3,5,"Floor 2, Section A",Checked Out
BK000039,978-2296701688,Introduction to Mathematics,Linda Ramirez,Cengage,2023,Computer Science,500,1,7,"Floor 3, Section A",Reserved
BK000040,978-1088026326,Modern Literature,Barbara Perez,Cambridge,2024,Art,408,3,1,"Floor 2, Section C",Available
BK000041,978-8271150900,Advanced History,Robert Hill,Wiley,2021,Literature,552,8,5,"Floor 2, Section C",Available
BK000042,978-2706150129,Advanced Mathematics,Jennifer Hill,Cengage,2012,Mathematics,322,3,4,"Floor 2, Section B",Available
BK000043,978-6121004287,Advanced Art,William Scott,Pearson,2006,Business,258,6,5,"Floor 3, Section A",Reserved
BK000044,978-7437354528,Advanced Computer Science,Nancy Davis,Cengage,2021,Literature,219,4,2,"Floor 1, Section B",Checked Out
BK000045,978-7018972914,Principles of History,Kenneth Hill,Cambridge,2017,Science,217,7,5,"Floor 1, Section A",Reserved
BK000046,978-1692031661,Principles of Mathematics,Carol Jones,Wiley,2007,Mathematics,233,5,5,"Floor 2, Section B",Reserved
BK000047,978-6542513752,Principles of Literature,Brian Robinson,Pearson,2006,Computer Science,484,1,5,"Floor 1, Section C",Available
BK000048,978-6413525561,Principles of History,Elizabeth Allen,Wiley,2010,Mathematics,247,6,8,"Floor 3, Section C",Available
BK000049,978-3892691164,Advanced History,Karen Hernandez,Cambridge,2013,Science,425,4,8,"Floor 2, Section B",Reserved
BK000050,978-5570803530,Introduction to Computer Science,Jeffrey Williams,Oxford,2024,History,546,6,0,"Floor 3, Section C",Checked Out
BK000051,978-5676892316,Modern Science,Timothy Thompson,Oxford,2007,Science,365,8,2,"Floor 1, Section C",Reserved
BK000052,978-7899046156,Introduction to Art,Elizabeth Harris,Cengage,2017,Business,598,8,6,"Floor 2, Section B",Available
BK000053,978-2406718716,Introduction to History,Richard Gonzalez,Wiley,2011,Mathematics,392,6,8,"Floor 3, Section A",Reserved
BK000054,978-3293841547,Principles of Computer Science,Dorothy Wright,Cambridge,2016,Computer Science,224,3,0,"Floor 2, Section B",Reserved
BK000055,978-3321899675,Introduction to Business,Sandra Martinez,Oxford,2012,History,478,7,7,"Floor 2, Section A",Available
BK000056,978-5750360226,Introduction to Art,Lisa Gonzalez,McGraw-Hill,2023,Art,244,4,7,"Floor 1, Section C",Available
BK000057,978-3292333609,Modern Science,John Williams,McGraw-Hill,2009,Literature,296,7,3,"Floor 2, Section C",Available
BK000058,978-7783104207,Principles of Business,Jennifer Taylor,Pearson,2019,Mathematics,372,5,4,"Floor 3, Section A",Available
BK000059,978-4664210160,Advanced Literature,Helen Moore,Cengage,2024,Art,334,1,6,"Floor 3, Section C",Available
BK000060,978-6980030328,Advanced Literature,Edward Williams,Pearson,2024,Mathematics,511,7,8,"Floor 2, Section C",Reserved
BK000061,978-1420560965,Advanced Mathematics,Sandra Anderson,Cambridge,2009,Mathematics,218,4,0,"Floor 2, Section B",Available
BK000062,978-8396678301,Introduction to Mathematics,Betty Ramirez,Oxford,2006,Literature,489,1,2,"Floor 3, Section C",Available
BK000063,978-4821323252,Advanced Business,Karen Garcia,Oxford,2005,Art,357,1,1,"Floor 3, Section C",Available
BK000064,978-2444920828,Introduction to Mathematics,Michelle Torres,McGraw-Hill,2016,Literature,479,4,4,"Floor 1, Section B",Reserved
BK000065,978-3850586924,Advanced History,Laura Miller,Pearson,2023,History,560,3,7,"Floor 3, Section B",Reserved
BK000066,978-3353519867,Modern Mathematics,James Martinez,Oxford,2021,Science,561,4,7,"Floor 1, Section B",Reserved
BK000067,978-4382628729,Principles of Computer Science,Betty Hill,Pearson,2014,Art,453,2,1,"Floor 1, Section A",Checked Out
BK000068,978-5711054714,Advanced History,Joshua Perez,Oxford,2009,History,588,5,3,"Floor 2, Section B",Available
BK000069,978-4989887401,Advanced Computer Science,Patricia Wright,Wiley,2016,Literature,223,5,1,"Floor 2, Section B",Checked Out
BK000070,978-2296942932,Modern Literature,Donald White,Cambridge,2009,Mathematics,251,7,5,"Floor 3, Section B",Checked Out
BK000071,978-6065603285,Introduction to Computer Science,Dorothy Ramirez,Cambridge,2006,History,443,5,3,"Floor 2, Section C",Checked Out
BK000072,978-3406653672,Principles of History,Ronald Sanchez,Pearson,2015,Business,340,2,5,"Floor 1, Section A",Checked Out
BK000073,978-7561312311,Advanced Literature,Sandra Hernandez,Wiley,2011,Business,504,3,1,"Floor 3, Section B",Reserved
BK000074,978-2491927720,Advanced Art,Betty Young,Pearson,2023,Computer Science,573,7,4,"Floor 3, Section A",Available
BK000075,978-7387889014,Introduction to Business,David White,Cengage,2015,Mathematics,589,5,0,"Floor 3, Section A",Available
BK000076,978-2545137989,Advanced History,Karen Jackson,Wiley,2019,Literature,456,4,3,"Floor 2, Section A",Reserved
BK000077,978-2704476092,Modern Literature,Richard King,Oxford,2017,Literature,298,8,8,"Floor 3, Section B",Reserved
BK000078,978-2938151203,Modern Computer Science,Timothy Gonzalez,Pearson,2005,Science,534,3,3,"Floor 1, Section C",Reserved
BK000079,978-5272307722,Advanced Literature,Sarah Sanchez,Oxford,2009,Mathematics,281,4,2,"Floor 3, Section C",Available
BK000080,978-7275249987,Modern Science,Linda Scott,Cambridge,2007,Science,381,6,7,"Floor 2, Section B",Checked Out
BK000081,978-7194743178,Modern Computer Science,Deborah Flores,McGraw-Hill,2008,Literature,511,3,1,"Floor 1, Section C",Available
BK000082,978-5243025048,Advanced History,Jeffrey Thompson,McGraw-Hill,2005,History,518,7,8,"Floor 2, Section C",Available
BK000083,978-6279228212,Introduction to Literature,Lisa Rodriguez,Pearson,2010,Literature,527,1,0,"Floor 3, Section A",Reserved
BK000084,978-5691711375,Modern Science,Matthew Wilson,Wiley,2012,Mathematics,518,6,0,"Floor 3, Section B",Checked Out
BK000085,978-2684686764,Introduction to Art,Jennifer White,Wiley,2008,Literature,423,1,7,"Floor 1, Section C",Reserved
BK000086,978-4524248859,Introduction to Science,Paul Anderson,Oxford,2018,Business,355,2,6,"Floor 2, Section A",Reserved
BK000087,978-6969015100,Modern Literature,Karen Thomas,Cambridge,2016,Literature,388,2,7,"Floor 1, Section B",Checked Out
BK000088,978-1733084361,Principles of Computer Science,Edward Moore,Cengage,2023,Computer Science,530,1,0,"Floor 3, Section B",Available
BK000089,978-5391408241,Introduction to Computer Science,Betty Moore,Cengage,2014,History,253,2,7,"Floor 2, Section C",Available
BK000090,978-2475092775,Advanced Business,Steven Williams,McGraw-Hill,2017,History,462,7,8,"Floor 3, Section C",Available
BK000091,978-4375194119,Modern Science,Elizabeth Johnson,Oxford,2011,Science,213,8,6,"Floor 3, Section B",Reserved
BK000092,978-5538418760,Principles of Mathematics,Sarah Scott,Cengage,2014,Mathematics,465,3,3,"Floor 3, Section B",Available
BK000093,978-3517368084,Modern Art,Kimberly Thomas,Cambridge,2021,Art,583,8,0,"Floor 2, Section A",Reserved
BK000094,978-6150299011,Advanced History,Thomas King,Cengage,2017,Literature,492,2,4,"Floor 1, Section B",Checked Out
BK000095,978-2323861587,Principles of Business,Jason Lee,Wiley,2024,Science,278,6,3,"Floor 1, Section C",Reserved
BK000096,978-7017852488,Modern History,Ruth Martinez,Wiley,2005,Science,316,5,1,"Floor 2, Section C",Checked Out
BK000097,978-3415277010,Advanced Literature,Betty Brown,Wiley,2016,Business,524,4,7,"Floor 3, Section C",Available
BK000098,978-2532658468,Modern Business,Michael Ramirez,Pearson,2019,Science,599,6,4,"Floor 2, Section B",Available
BK000099,978-3454677622,Principles of Literature,Nancy King,Cambridge,2016,Business,464,5,2,"Floor 3, Section B",Available
BK000100,978-2965222007,Modern Science,Anthony Garcia,Cambridge,2008,Art,290,4,8,"Floor 1, Section B",Available
BK000101,978-2070940971,Principles of Computer Science,Karen Hernandez,Wiley,2021,Art,550,6,3,"Floor 3, Section C",Reserved
BK000102,978-3165833902,Principles of Computer Science,Robert Flores,McGraw-Hill,2011,Art,535,6,3,"Floor 2, Section C",Checked Out
BK000103,978-2724283163,Principles of Literature,Andrew Thompson,Pearson,2007,Art,579,4,5,"Floor 2, Section C",Reserved
BK000104,978-8108170641,Advanced Science,William Walker,Cengage,2019,Science,291,4,6,"Floor 3, Section A",Available
BK000105,978-4452338504,Principles of Mathematics,Karen Rodriguez,McGraw-Hill,2013,Mathematics,359,4,7,"Floor 2, Section C",Checked Out
BK000106,978-1113400286,Introduction to Literature,Sarah Williams,Cengage,2011,Mathematics,574,3,6,"Floor 3, Section C",Available
BK000107,978-6619715154,Modern Business,Helen Martinez,Wiley,2010,Art,471,3,5,"Floor 1, Section C",Reserved
BK000108,978-2424479541,Introduction to Computer Science,Michelle Gonzalez,Cambridge,2014,Business,331,1,4,"Floor 2, Section C",Reserved
BK000109,978-9505996313,Introduction to History,David Lee,Oxford,2017,Mathematics,480,6,2,"Floor 2, Section A",Available
BK000110,978-5680783498,Modern Mathematics,Andrew Smith,Wiley,2019,Literature,431,8,8,"Floor 3, Section A",Available
BK000111,978-9954913177,Advanced Business,Jason King,Wiley,2013,Computer Science,316,1,1,"Floor 1, Section A",Checked Out
BK000112,978-3638646889,Advanced Mathematics,Jason Perez,Wiley,2024,Computer Science,583,7,1,"Floor 3, Section C",Reserved
BK000113,978-4676274985,Advanced Mathematics,Kevin Thompson,Cengage,2012,Business,224,4,3,"Floor 2, Section B",Available
BK000114,978-5041712269,Modern Literature,Ronald Garcia,Pearson,2017,Art,531,2,1,"Floor 3, Section C",Available
BK000115,978-8101666130,Advanced Business,Elizabeth Scott,Cengage,2011,Mathematics,368,6,7,"Floor 3, Section B",Checked Out
BK000116,978-6615127137,Modern Science,Jessica White,Cambridge,2012,History,328,2,0,"Floor 3, Section A",Available
BK000117,978-8448194105,Modern Science,Ruth Robinson,Cambridge,2018,Art,560,7,1,"Floor 1, Section A",Available
BK000118,978-6376084687,Principles of History,Linda Brown,Wiley,2022,Business,413,1,6,"Floor 1, Section B",Reserved
BK000119,978-2699283687,Principles of History,Jacob King,Cambridge,2006,Literature,361,4,7,"Floor 3, Section A",Available
BK000120,978-1271271255,Introduction to Computer Science,Nancy Robinson,McGraw-Hill,2018,Art,490,5,3,"Floor 3, Section A",Checked Out
BK000121,978-8533087757,Modern Art,Steven Martin,Cengage,2022,Business,344,8,5,"Floor 3, Section B",Available
BK000122,978-9991657445,Modern History,Christopher Johnson,Cengage,2018,Art,362,8,0,"Floor 3, Section A",Available
BK000123,978-6555959280,Principles of Mathematics,Sandra Young,McGraw-Hill,2012,Computer Science,532,6,7,"Floor 2, Section A",Available
BK000124,978-5788451017,Principles of Computer Science,Jacob Wilson,Pearson,2014,Computer Science,286,4,1,"Floor 2, Section A",Available
BK000125,978-6359437028,Modern Literature,Brian Taylor,Cengage,2020,Art,352,7,7,"Floor 1, Section C",Reserved
BK000126,978-4109371445,Introduction to Computer Science,Richard Rodriguez,McGraw-Hill,2017,Literature,317,2,7,"Floor 3, Section B",Available
BK000127,978-3951160602,Advanced Art,Jason Scott,McGraw-Hill,2014,Business,345,3,4,"Floor 1, Section B",Reserved
BK000128,978-3092377354,Principles of History,Richard Jackson,Wiley,2020,History,403,4,4,"Floor 3, Section A",Available
BK000129,978-7214411991,Advanced History,Ryan King,Wiley,2012,Mathematics,311,4,6,"Floor 1, Section B",Available
BK000130,978-4412162437,Introduction to Art,Michael Hill,McGraw-Hill,2023,Mathematics,485,8,6,"Floor 3, Section C",Available
BK000131,978-8535353588,Modern Mathematics,Susan Lopez,Cengage,2009,Computer Science,542,7,3,"Floor 3, Section A",Checked Out
BK000132,978-3833373413,Principles of Computer Science,James Thomas,Cengage,2013,Business,382,6,5,"Floor 1, Section A",Checked Out
BK000133,978-9283852058,Advanced Computer Science,Sarah Young,Cengage,2011,Art,226,1,2,"Floor 1, Section C",Available
BK000134,978-9824523796,Modern Literature,Jessica Walker,Cengage,2018,History,391,6,0,"Floor 2, Section B",Reserved
BK000135,978-4281656065,Advanced Art,James Gonzalez,Oxford,2024,Science,502,6,7,"Floor 3, Section B",Available
BK000136,978-3753305479,Introduction to Business,Jason Lopez,Cengage,2005,Mathematics,467,1,2,"Floor 1, Section A",Available
BK000137,978-8234880009,Principles of Business,James Garcia,Cengage,2008,Literature,413,3,8,"Floor 3, Section A",Reserved
BK000138,978-3941723973,Introduction to Science,Jennifer Thompson,Wiley,2016,Computer Science,439,7,1,"Floor 3, Section A",Available
BK000139,978-7571989612,Principles of Computer Science,Sarah Brown,McGraw-Hill,2019,Literature,569,3,0,"Floor 3, Section C",Available
BK000140,978-2988227592,Modern Science,Jacob Smith,Cambridge,2005,Art,530,6,2,"Floor 2, Section C",Checked Out
BK000141,978-2763699123,Introduction to Business,Carol Torres,Oxford,2014,Literature,493,7,2,"Floor 2, Section A",Checked Out
BK000142,978-1474592915,Principles of Science,Joshua Hill,Cengage,2009,History,383,5,5,"Floor 3, Section B",Available
BK000143,978-1670304665,Modern Business,Donna Rodriguez,Pearson,2012,History,215,3,8,"Floor 2, Section C",Checked Out
BK000144,978-2968017168,Modern Mathematics,Lisa Robinson,Wiley,2024,Science,366,4,2,"Floor 2, Section C",Reserved
BK000145,978-7022065637,Modern Business,Ronald Jones,Pearson,2018,Computer Science,434,4,6,"Floor 3, Section C",Reserved
BK000146,978-6742638410,Introduction to Business,Richard Lee,Oxford,2021,Literature,584,5,2,"Floor 3, Section A",Available
BK000147,978-4290538976,Introduction to History,Richard Garcia,McGraw-Hill,2012,Computer Science,247,3,1,"Floor 2, Section B",Available
BK000148,978-1152107847,Modern Business,Dorothy Torres,Pearson,2009,History,597,7,6,"Floor 3, Section B",Available
BK000149,978-7556228078,Principles of Mathematics,Kenneth Moore,Cengage,2022,Art,480,1,6,"Floor 2, Section C",Available
BK000150,978-8577268021,Introduction to Business,Kevin Harris,Cengage,2024,Art,487,5,3,"Floor 2, Section C",Checked Out
BK000151,978-4301960307,Advanced Mathematics,Edward Martin,Oxford,2007,Computer Science,339,7,2,"Floor 3, Section B",Reserved
BK000152,978-5038164678,Introduction to Literature,Laura Nguyen,Wiley,2022,Art,300,6,5,"Floor 1, Section C",Available
BK000153,978-5358004577,Modern Literature,Jennifer Lopez,Cambridge,2008,Art,394,5,1,"Floor 1, Section A",Available
BK000154,978-2704221922,Principles of Science,Edward Robinson,Cambridge,2009,Art,237,3,5,"Floor 3, Section A",Reserved
BK000155,978-4660090681,Principles of Business,David Miller,Wiley,2009,History,570,8,4,"Floor 1, Section C",Available
BK000156,978-5645918886,Advanced Art,Sarah Ramirez,McGraw-Hill,2024,Computer Science,504,8,8,"Floor 2, Section B",Available
BK000157,978-2915519901,Principles of Business,Mark Lopez,Pearson,2010,Literature,257,1,0,"Floor 1, Section B",Available
BK000158,978-1862678417,Principles of Art,Karen Hernandez,Wiley,2008,Computer Science,578,2,1,"Floor 1, Section C",Available
BK000159,978-4315210370,Principles of Mathematics,Kevin Lewis,McGraw-Hill,2023,Science,542,7,1,"Floor 2, Section A",Available
BK000160,978-3214802460,Advanced Mathematics,Laura Nguyen,Cambridge,2012,Art,450,5,6,"Floor 1, Section A",Available
BK000161,978-5399711317,Introduction to Literature,Susan Jones,Cambridge,2020,Computer Science,444,6,7,"Floor 2, Section A",Available
BK000162,978-9018660815,Modern History,Helen Harris,Oxford,2012,Business,432,7,3,"Floor 3, Section B",Available
BK000163,978-4354057129,Principles of History,Jacob Robinson,Pearson,2013,Computer Science,233,2,5,"Floor 3, Section C",Available
BK000164,978-6742380550,Modern Computer Science,Nancy White,Wiley,2011,History,238,4,5,"Floor 3, Section C",Available
BK000165,978-5550846973,Modern Literature,Donna Hill,Cambridge,2021,Science,502,7,8,"Floor 2, Section A",Reserved
BK000166,978-8678982942,Modern Art,Betty Rodriguez,Pearson,2014,History,506,7,2,"Floor 1, Section B",Reserved
BK000167,978-3066796804,Principles of Literature,Mary King,McGraw-Hill,2006,Science,238,4,4,"Floor 1, Section B",Available
BK000168,978-7807314148,Modern History,Susan Miller,Pearson,2008,Science,527,6,1,"Floor 3, Section A",Available
BK000169,978-7029435478,Advanced Computer Science,Edward Smith,McGraw-Hill,2024,Computer Science,501,8,8,"Floor 2, Section C",Reserved
BK000170,978-4435704489,Principles of Literature,Helen King,Cengage,2008,Art,576,1,1,"Floor 1, Section A",Checked Out
BK000171,978-5562034241,Principles of Literature,Mark Nguyen,Oxford,2011,Science,446,2,6,"Floor 2, Section B",Available
BK000172,978-7970242017,Principles of Mathematics,George Martinez,Pearson,2016,Computer Science,284,2,3,"Floor 3, Section C",Available
BK000173,978-1268319967,Advanced Science,David Torres,McGraw-Hill,2014,Science,419,8,3,"Floor 1, Section A",Available
BK000174,978-2729355771,Introduction to Art,Sharon Sanchez,Pearson,2007,History,498,5,8,"Floor 1, Section B",Reserved
BK000175,978-6677110976,Advanced Science,Ronald Gonzalez,Cengage,2021,Business,410,6,1,"Floor 2, Section A",Checked Out
BK000176,978-4240505489,Advanced Science,Patricia Ramirez,Wiley,2022,Mathematics,477,3,1,"Floor 1, Section A",Checked Out
BK000177,978-2710968098,Advanced Literature,Nancy Thompson,Oxford,2005,History,590,5,8,"Floor 1, Section C",Available
BK000178,978-6396652673,Advanced History,James Miller,Oxford,2023,Mathematics,508,4,3,"Floor 3, Section B",Available
BK000179,978-9574938656,Advanced Literature,Helen Walker,McGraw-Hill,2018,Mathematics,543,6,6,"Floor 1, Section B",Reserved
BK000180,978-8505750863,Modern Science,Karen Miller,Oxford,2016,Literature,344,6,8,"Floor 1, Section A",Available
BK000181,978-8859645279,Introduction to Business,Nancy Rodriguez,Cengage,2008,Computer Science,242,3,3,"Floor 3, Section B",Available
BK000182,978-3894683893,Introduction to History,Donna Hernandez,Oxford,2015,Mathematics,539,2,3,"Floor 2, Section B",Available
BK000183,978-8454600013,Advanced Science,Ryan Martin,Pearson,2015,Literature,530,5,0,"Floor 1, Section B",Checked Out
BK000184,978-2633399655,Principles of Art,Paul Taylor,Pearson,2015,Science,534,2,4,"Floor 3, Section A",Available
BK000185,978-2263975701,Modern Art,Deborah Young,Wiley,2022,Computer Science,222,7,6,"Floor 1, Section A",Reserved
BK000186,978-3128846530,Advanced Computer Science,James Hernandez,McGraw-Hill,2020,History,325,3,1,"Floor 1, Section B",Reserved
BK000187,978-5196791481,Modern Computer Science,Betty Moore,Wiley,2013,History,260,2,2,"Floor 2, Section A",Reserved
BK000188,978-2193519376,Modern History,Mary Lopez,Pearson,2020,Science,314,2,1,"Floor 2, Section C",Checked Out
BK000189,978-1628762992,Principles of Business,Kimberly Hill,Cengage,2011,Science,287,3,0,"Floor 3, Section A",Available
BK000190,978-2188104106,Introduction to Literature,David Miller,Pearson,2008,Science,431,6,4,"Floor 3, Section A",Reserved
BK000191,978-1004483143,Introduction to Science,Betty Martin,Wiley,2015,Literature,329,7,3,"Floor 3, Section C",Available
BK000192,978-1972213212,Modern Science,Elizabeth Johnson,Oxford,2019,Science,388,3,7,"Floor 2, Section A",Available
BK000193,978-4191204260,Modern Business,Michael Gonzalez,Wiley,2008,Art,510,3,7,"Floor 1, Section A",Available
BK000194,978-7727232083,Principles of Art,Nancy Williams,Pearson,2008,History,384,4,1,"Floor 1, Section B",Reserved
BK000195,978-8036159168,Modern History,Richard Flores,McGraw-Hill,2011,Mathematics,405,2,4,"Floor 2, Section B",Available
BK000196,978-3575713459,Principles of History,Betty Smith,Cambridge,2012,History,378,2,2,"Floor 3, Section A",Checked Out
BK000197,978-8040284386,Introduction to Science,Nancy Lopez,Oxford,2011,Literature,598,3,7,"Floor 2, Section A",Available
BK000198,978-2353132363,Modern Mathematics,Betty Perez,McGraw-Hill,2009,Science,495,4,5,"Floor 2, Section B",Available
BK000199,978-8768503159,Modern Literature,Betty Lee,Pearson,2021,Literature,484,4,8,"Floor 2, Section A",Available
BK000200,978-9386445805,Modern Art,Laura Ramirez,McGraw-Hill,2007,History,315,5,3,"Floor 3, Section A",Available
BK000201,978-2597975369,Modern Science,Joshua Walker,Cengage,2013,History,544,5,6,"Floor 3, Section C",Reserved
BK000202,978-5827254936,Principles of Science,James Flores,Cengage,2015,Art,361,3,8,"Floor 1, Section B",Available
BK000203,978-2555767477,Advanced Computer Science,Donald Smith,Cambridge,2008,Computer Science,452,8,8,"Floor 2, Section C",Checked Out
BK000204,978-8378561273,Principles of Business,Anthony Lee,Cambridge,2021,Science,600,5,2,"Floor 1, Section C",Checked Out
BK000205,978-7420414137,Principles of Literature,Patricia Taylor,McGraw-Hill,2023,Art,504,3,6,"Floor 2, Section C",Available
BK000206,978-8957284674,Introduction to Mathematics,Kimberly White,Cambridge,2015,Art,368,3,5,"Floor 1, Section B",Available
BK000207,978-9446788755,Principles of Computer Science,Jennifer Lewis,Cambridge,2016,History,490,4,4,"Floor 1, Section B",Available
BK000208,978-6028245244,Introduction to Computer Science,Matthew Hernandez,Cambridge,2012,History,513,7,3,"Floor 1, Section A",Available
BK000209,978-8940053227,Principles of Computer Science,Donna Lopez,Oxford,2007,History,588,8,7,"Floor 3, Section A",Reserved
BK000210,978-1052262059,Introduction to Computer Science,Matthew Scott,McGraw-Hill,2010,Business,464,8,0,"Floor 2, Section B",Available
BK000211,978-1549438280,Introduction to Art,William Moore,Pearson,2018,Business,600,4,6,"Floor 1, Section A",Reserved
BK000212,978-6491997759,Modern Business,Jason Smith,Oxford,2024,Art,537,4,7,"Floor 1, Section C",Available
BK000213,978-4153861903,Principles of Computer Science,Barbara Lewis,Pearson,2008,Computer Science,412,4,8,"Floor 1, Section B",Available
BK000214,978-9619413959,Principles of Science,Jacob Ramirez,Pearson,2020,Literature,221,3,7,"Floor 1, Section A",Available
BK000215,978-4527915043,Introduction to Business,Ronald Perez,Cambridge,2005,Science,511,3,6,"Floor 3, Section A",Reserved
BK000216,978-6640787481,Introduction to Art,Christopher Martinez,Cambridge,2016,Computer Science,303,6,3,"Floor 2, Section B",Available
BK000217,978-7253494569,Principles of Mathematics,Edward Moore,Oxford,2012,Science,324,6,2,"Floor 3, Section A",Checked Out
BK000218,978-3731868519,Introduction to Art,Laura Taylor,Cengage,2019,Computer Science,463,4,0,"Floor 1, Section C",Available
BK000219,978-1144352167,Introduction to Art,Dorothy Hernandez,Oxford,2013,Literature,217,6,4,"Floor 1, Section C",Checked Out
BK000220,978-6986696039,Introduction to Literature,Deborah Lopez,McGraw-Hill,2016,History,328,7,4,"Floor 2, Section C",Reserved
BK000221,978-2716213029,Principles of Literature,Kevin Jackson,Pearson,2021,Literature,409,3,5,"Floor 1, Section A",Checked Out
BK000222,978-8569658647,Introduction to Science,Laura Garcia,Cambridge,2015,Art,322,2,2,"Floor 2, Section A",Available
BK000223,978-5743309908,Introduction to Computer Science,John Hill,Cengage,2016,Literature,471,3,4,"Floor 3, Section C",Available
BK000224,978-7890070584,Modern History,George Thomas,McGraw-Hill,2013,Science,283,8,2,"Floor 1, Section B",Checked Out
BK000225,978-8033940193,Introduction to Computer Science,Robert Clark,Cambridge,2009,Computer Science,476,8,4,"Floor 1, Section B",Checked Out
BK000226,978-3442562080,Advanced Computer Science,Donald Thomas,Wiley,2016,Literature,265,1,2,"Floor 3, Section C",Available
