assignment_id,section_id,course_id,title,type,description,total_points,due_date,created_date,status
ASG000024,SEC000352,HIST249,Midterm 3,Essay,Assignment covering course materials and objectives.,100,2024-06-29,2024-12-18,Active
ASG000025,SEC000051,ECON554,Presentation 2,Essay,Assignment covering course materials and objectives.,50,2025-09-19,2025-05-02,Active
ASG000026,SEC000246,EDUC334,Final 3,Project,Assignment covering course materials and objectives.,10,2025-05-04,2025-11-16,Active
ASG000027,SEC000011,PHYS456,Final 2,Project,Assignment covering course materials and objectives.,20,2024-11-11,2025-08-16,Active
ASG000028,SEC000073,NURS238,Project 8,Lab,Assignment covering course materials and objectives.,20,2024-07-01,2025-03-18,Active
ASG000029,SEC000389,NURS389,Lab 5,Quiz,Assignment covering course materials and objectives.,100,2024-01-04,2024-04-02,Draft
ASG000030,SEC000345,PHYS438,Essay 2,Quiz,Assignment covering course materials and objectives.,20,2025-08-09,2024-11-03,Draft
ASG000031,SEC000135,PHYS473,Homework 4,Quiz,Assignment covering course materials and objectives.,10,2025-07-09,2024-06-08,Draft
ASG000032,SEC000307,ART482,Quiz 5,Presentation,Assignment covering course materials and objectives.,25,2025-08-27,2024-12-23,Active
ASG000033,SEC000043,ART482,Exam 1,Project,Assignment covering course materials and objectives.,20,2025-07-30,2024-03-01,Active
ASG000034,SEC000309,CS482,Presentation 7,Presentation,Assignment covering course materials and objectives.,100,2024-09-16,2024-06-06,Active
ASG000035,SEC000294,ENG314,Lab 4,Final,Assignment covering course materials and objectives.,20,2025-05-08,2024-12-31,Active
ASG000036,SEC000082,HIST104,Final 5,Presentation,Assignment covering course materials and objectives.,20,2025-04-30,2025-05-05,Active
ASG000037,SEC000157,HIST304,Final 6,Homework,Assignment covering course materials and objectives.,20,2024-01-10,2024-07-02,Draft
ASG000038,SEC000244,PSYC373,Exam 2,Midterm,Assignment covering course materials and objectives.,100,2024-07-28,2024-03-17,Draft
ASG000039,SEC000082,HIST104,Essay 1,Essay,Assignment covering course materials and objectives.,25,2024-07-21,2024-06-10,Draft
ASG000040,SEC000228,ART482,Exam 5,Lab,Assignment covering course materials and objectives.,100,2024-09-08,2025-12-08,Draft
ASG000041,SEC000074,CS149,Presentation 8,Midterm,Assignment covering course materials and objectives.,100,2024-09-03,2025-06-06,Active
ASG000042,SEC000305,ECON405,Quiz 3,Final,Assignment covering course materials and objectives.,50,2025-03-29,2024-06-18,Draft
ASG000043,SEC000246,EDUC334,Lab 8,Final,Assignment covering course materials and objectives.,50,2025-09-23,2024-03-26,Active
ASG000044,SEC000151,ECON400,Homework 8,Presentation,Assignment covering course materials and objectives.,20,2025-09-03,2025-01-21,Draft
ASG000045,SEC000161,PSYC215,Exam 5,Quiz,Assignment covering course materials and objectives.,25,2025-05-12,2024-08-13,Active
ASG000046,SEC000341,ART238,Final 1,Exam,Assignment covering course materials and objectives.,10,2024-10-19,2024-01-21,Active
ASG000047,SEC000040,ECON508,Homework 8,Quiz,Assignment covering course materials and objectives.,100,2024-03-11,2024-05-17,Active
ASG000048,SEC000128,MUS358,Project 8,Homework,Assignment covering course materials and objectives.,20,2025-03-08,2025-01-08,Draft
ASG000049,SEC000271,ART367,Quiz 5,Presentation,Assignment covering course materials and objectives.,20,2025-01-01,2024-11-21,Active
ASG000050,SEC000041,EDUC375,Project 6,Project,Assignment covering course materials and objectives.,10,2025-11-08,2024-03-22,Active
ASG000051,SEC000059,EDUC397,Essay 5,Essay,Assignment covering course materials and objectives.,50,2025-03-29,2024-08-18,Active
ASG000052,SEC000113,BIO111,Midterm 1,Homework,Assignment covering course materials and objectives.,10,2025-11-11,2025-12-10,Draft
ASG000053,SEC000141,ECON195,Project 2,Midterm,Assignment covering course materials and objectives.,25,2025-02-28,2024-01-29,Draft
ASG000054,SEC000120,MATH373,Homework 3,Quiz,Assignment covering course materials and objectives.,50,2024-08-06,2025-04-09,Active
ASG000055,SEC000121,HIST104,Midterm 1,Quiz,Assignment covering course materials and objectives.,10,2024-04-10,2025-11-07,Active
ASG000056,SEC000290,NURS409,Exam 7,Exam,Assignment covering course materials and objectives.,10,2025-07-18,2025-09-23,Active
ASG000057,SEC000082,HIST104,Lab 1,Homework,Assignment covering course materials and objectives.,50,2024-03-20,2024-08-01,Draft
ASG000058,SEC000172,BUS287,Lab 7,Presentation,Assignment covering course materials and objectives.,10,2024-06-24,2025-10-27,Active
ASG000059,SEC000044,ECON255,Lab 4,Essay,Assignment covering course materials and objectives.,100,2024-02-12,2024-10-10,Draft
ASG000060,SEC000043,ART482,Quiz 1,Homework,Assignment covering course materials and objectives.,25,2024-12-13,2024-02-23,Active
ASG000061,SEC000162,BUS444,Project 2,Quiz,Assignment covering course materials and objectives.,100,2024-12-01,2025-09-17,Draft
ASG000062,SEC000030,PSYC569,Exam 8,Presentation,Assignment covering course materials and objectives.,100,2024-07-14,2025-12-20,Active
ASG000063,SEC000388,ECON508,Midterm 8,Presentation,Assignment covering course materials and objectives.,50,2024-02-20,2024-12-01,Active
ASG000064,SEC000258,HIST249,Essay 7,Exam,Assignment covering course materials and objectives.,25,2025-04-28,2024-12-24,Active
ASG000065,SEC000140,EDUC545,Exam 3,Lab,Assignment covering course materials and objectives.,50,2024-09-24,2024-02-28,Draft
ASG000066,SEC000303,PSYC215,Lab 7,Quiz,Assignment covering course materials and objectives.,50,2024-12-11,2024-09-21,Active
ASG000067,SEC000379,CHEM148,Final 3,Midterm,Assignment covering course materials and objectives.,50,2024-04-21,2024-04-28,Active
ASG000068,SEC000288,ECON545,Final 2,Presentation,Assignment covering course materials and objectives.,10,2025-01-12,2025-07-23,Active
ASG000069,SEC000039,HIST572,Midterm 6,Essay,Assignment covering course materials and objectives.,50,2024-02-13,2025-07-24,Active
ASG000070,SEC000206,HIST522,Midterm 7,Essay,Assignment covering course materials and objectives.,10,2024-09-25,2024-10-04,Active
ASG000071,SEC000047,CHEM165,Lab 5,Exam,Assignment covering course materials and objectives.,100,2024-09-23,2024-05-28,Draft
ASG000072,SEC000253,EDUC545,Homework 1,Essay,Assignment covering course materials and objectives.,10,2024-03-07,2024-12-02,Active
ASG000073,SEC000117,ENG333,Midterm 7,Exam,Assignment covering course materials and objectives.,50,2025-06-06,2024-09-15,Draft
ASG000074,SEC000023,MUS336,Lab 3,Lab,Assignment covering course materials and objectives.,10,2025-02-24,2025-07-30,Active
ASG000075,SEC000151,ECON400,Exam 1,Midterm,Assignment covering course materials and objectives.,50,2025-11-06,2025-07-05,Active
ASG000076,SEC000225,ENG336,Homework 1,Presentation,Assignment covering course materials and objectives.,100,2024-03-20,2024-09-28,Active
ASG000077,SEC000219,ART182,Essay 8,Exam,Assignment covering course materials and objectives.,20,2025-09-02,2025-10-28,Draft
ASG000078,SEC000201,PHYS506,Presentation 2,Homework,Assignment covering course materials and objectives.,25,2024-09-14,2024-05-04,Draft
ASG000079,SEC000043,ART482,Essay 1,Homework,Assignment covering course materials and objectives.,50,2025-03-18,2024-01-15,Active
ASG000080,SEC000353,HIST104,Midterm 6,Quiz,Assignment covering course materials and objectives.,100,2024-01-07,2024-01-06,Draft
ASG000081,SEC000243,ART132,Final 5,Exam,Assignment covering course materials and objectives.,100,2024-10-17,2025-01-11,Active
ASG000082,SEC000234,PHYS347,Presentation 2,Final,Assignment covering course materials and objectives.,50,2025-05-09,2025-05-08,Active
ASG000083,SEC000222,PSYC215,Presentation 8,Exam,Assignment covering course materials and objectives.,10,2025-09-10,2024-06-12,Active
ASG000084,SEC000284,CS293,Project 5,Quiz,Assignment covering course materials and objectives.,25,2024-07-29,2024-01-11,Active
ASG000085,SEC000057,PHYS484,Essay 3,Midterm,Assignment covering course materials and objectives.,20,2025-01-07,2025-09-29,Draft
ASG000086,SEC000274,MATH135,Project 4,Presentation,Assignment covering course materials and objectives.,50,2024-10-14,2025-12-05,Active
ASG000087,SEC000269,ECON404,Quiz 3,Homework,Assignment covering course materials and objectives.,25,2025-08-30,2025-08-21,Active
ASG000088,SEC000147,CS384,Midterm 7,Final,Assignment covering course materials and objectives.,100,2024-01-30,2024-04-02,Active
ASG000089,SEC000344,MUS142,Exam 6,Presentation,Assignment covering course materials and objectives.,20,2024-03-03,2025-06-28,Active
ASG000090,SEC000213,PSYC215,Quiz 1,Final,Assignment covering course materials and objectives.,100,2024-02-09,2024-06-01,Active
ASG000091,SEC000252,CHEM347,Homework 2,Presentation,Assignment covering course materials and objectives.,20,2024-02-18,2025-10-31,Draft
ASG000092,SEC000368,MATH533,Project 8,Homework,Assignment covering course materials and objectives.,20,2025-01-15,2024-12-11,Active
ASG000093,SEC000319,NURS409,Quiz 6,Quiz,Assignment covering course materials and objectives.,50,2025-03-24,2025-01-22,Active
ASG000094,SEC000224,ECON577,Presentation 3,Presentation,Assignment covering course materials and objectives.,25,2025-07-08,2025-02-10,Active
ASG000095,SEC000198,CS237,Homework 3,Essay,Assignment covering course materials and objectives.,20,2025-01-19,2025-06-09,Draft
ASG000096,SEC000097,EDUC384,Exam 1,Exam,Assignment covering course materials and objectives.,20,2024-11-30,2024-10-09,Active
ASG000097,SEC000024,ENG379,Final 1,Presentation,Assignment covering course materials and objectives.,100,2024-10-01,2024-01-19,Draft
ASG000098,SEC000287,ART182,Midterm 4,Final,Assignment covering course materials and objectives.,50,2024-04-09,2025-07-02,Active
ASG000099,SEC000326,BUS526,Lab 2,Homework,Assignment covering course materials and objectives.,10,2025-10-17,2024-01-05,Draft
ASG000100,SEC000200,MUS358,Essay 5,Final,Assignment covering course materials and objectives.,25,2024-09-03,2025-12-29,Active
ASG000101,SEC000014,BUS287,Homework 5,Presentation,Assignment covering course materials and objectives.,10,2024-08-18,2025-12-19,Active
ASG000102,SEC000333,MUS507,Presentation 1,Final,Assignment covering course materials and objectives.,100,2025-12-14,2025-10-05,Draft
ASG000103,SEC000020,MUS520,Presentation 5,Project,Assignment covering course materials and objectives.,50,2025-01-16,2025-09-30,Active
ASG000104,SEC000146,ENG238,Lab 8,Homework,Assignment covering course materials and objectives.,25,2025-07-21,2024-09-05,Active
ASG000105,SEC000135,PHYS473,Midterm 1,Exam,Assignment covering course materials and objectives.,50,2025-11-01,2025-06-26,Active
ASG000106,SEC000082,HIST104,Midterm 7,Lab,Assignment covering course materials and objectives.,25,2024-04-26,2024-07-11,Active
ASG000107,SEC000352,HIST249,Homework 6,Homework,Assignment covering course materials and objectives.,10,2025-09-30,2025-07-12,Active
ASG000108,SEC000252,CHEM347,Essay 5,Midterm,Assignment covering course materials and objectives.,20,2025-07-09,2025-06-04,Active
ASG000109,SEC000278,PHYS347,Lab 3,Midterm,Assignment covering course materials and objectives.,25,2024-01-25,2025-01-26,Active
ASG000110,SEC000262,EDUC384,Exam 6,Homework,Assignment covering course materials and objectives.,50,2024-06-16,2024-12-18,Active
ASG000111,SEC000115,BUS307,Exam 1,Essay,Assignment covering course materials and objectives.,20,2025-07-03,2025-01-04,Active
ASG000112,SEC000164,MUS358,Essay 1,Quiz,Assignment covering course materials and objectives.,20,2024-12-03,2024-06-09,Active
ASG000113,SEC000240,NURS238,Quiz 2,Midterm,Assignment covering course materials and objectives.,100,2025-06-06,2025-04-30,Active
ASG000114,SEC000007,ENG533,Essay 2,Project,Assignment covering course materials and objectives.,100,2025-12-09,2024-05-03,Active
ASG000115,SEC000045,PHYS484,Final 1,Essay,Assignment covering course materials and objectives.,10,2024-10-23,2024-04-14,Active
ASG000116,SEC000012,PSYC562,Homework 8,Lab,Assignment covering course materials and objectives.,10,2024-10-08,2025-01-17,Active
ASG000117,SEC000170,BUS307,Presentation 4,Project,Assignment covering course materials and objectives.,20,2025-04-29,2025-02-20,Active
ASG000118,SEC000397,ECON577,Presentation 5,Midterm,Assignment covering course materials and objectives.,20,2025-06-07,2025-04-21,Active
ASG000119,SEC000022,MUS295,Exam 6,Exam,Assignment covering course materials and objectives.,20,2025-09-09,2024-02-19,Draft
ASG000120,SEC000027,BIO506,Essay 7,Project,Assignment covering course materials and objectives.,50,2024-02-16,2025-03-25,Active
ASG000121,SEC000077,CHEM290,Lab 2,Project,Assignment covering course materials and objectives.,50,2024-07-29,2025-09-16,Active
ASG000122,SEC000316,PHYS424,Quiz 3,Essay,Assignment covering course materials and objectives.,100,2024-03-12,2025-08-04,Active
ASG000123,SEC000221,ENG333,Presentation 5,Project,Assignment covering course materials and objectives.,50,2024-10-31,2024-07-31,Draft
ASG000124,SEC000180,MUS318,Project 2,Lab,Assignment covering course materials and objectives.,25,2025-12-10,2025-09-02,Active
ASG000125,SEC000191,NURS305,Presentation 2,Essay,Assignment covering course materials and objectives.,10,2025-07-10,2025-08-20,Active
ASG000126,SEC000056,EDUC434,Lab 7,Project,Assignment covering course materials and objectives.,10,2025-06-30,2025-04-03,Draft
ASG000127,SEC000211,ENG247,Project 4,Homework,Assignment covering course materials and objectives.,20,2024-07-22,2024-01-09,Active
ASG000128,SEC000080,ECON323,Project 4,Project,Assignment covering course materials and objectives.,100,2025-06-21,2025-10-08,Active
ASG000129,SEC000054,CHEM290,Presentation 1,Exam,Assignment covering course materials and objectives.,25,2024-01-28,2025-09-17,Active
ASG000130,SEC000254,BIO547,Homework 5,Homework,Assignment covering course materials and objectives.,10,2024-11-13,2024-09-08,Draft
ASG000131,SEC000195,ECON554,Presentation 5,Midterm,Assignment covering course materials and objectives.,10,2025-05-26,2025-10-29,Active
ASG000132,SEC000200,MUS358,Homework 3,Midterm,Assignment covering course materials and objectives.,25,2025-05-03,2025-06-02,Draft
ASG000133,SEC000219,ART182,Project 7,Final,Assignment covering course materials and objectives.,10,2024-12-31,2024-07-29,Draft
ASG000134,SEC000100,NURS155,Final 1,Final,Assignment covering course materials and objectives.,100,2024-05-30,2024-07-25,Active
ASG000135,SEC000023,MUS336,Midterm 1,Quiz,Assignment covering course materials and objectives.,100,2025-08-17,2025-07-09,Active
ASG000136,SEC000151,ECON400,Midterm 8,Homework,Assignment covering course materials and objectives.,50,2025-01-05,2024-04-11,Draft
ASG000137,SEC000071,BIO111,Quiz 1,Final,Assignment covering course materials and objectives.,50,2024-07-11,2025-02-17,Draft
ASG000138,SEC000271,ART367,Exam 2,Presentation,Assignment covering course materials and objectives.,100,2025-08-10,2025-01-31,Active
ASG000139,SEC000008,CHEM248,Presentation 7,Final,Assignment covering course materials and objectives.,100,2024-03-05,2024-06-12,Draft
ASG000140,SEC000302,BUS526,Homework 5,Exam,Assignment covering course materials and objectives.,25,2024-06-24,2025-07-11,Active
ASG000141,SEC000194,ENG247,Essay 1,Presentation,Assignment covering course materials and objectives.,100,2024-03-17,2025-11-24,Draft
ASG000142,SEC000306,EDUC373,Exam 3,Lab,Assignment covering course materials and objectives.,10,2025-11-12,2025-09-17,Draft
ASG000143,SEC000310,ENG247,Midterm 1,Project,Assignment covering course materials and objectives.,10,2024-02-12,2025-07-24,Active
ASG000144,SEC000272,MUS567,Project 5,Final,Assignment covering course materials and objectives.,10,2025-09-24,2025-07-13,Active
ASG000145,SEC000372,ART504,Lab 5,Final,Assignment covering course materials and objectives.,50,2025-07-18,2025-08-10,Active
ASG000146,SEC000140,EDUC545,Final 4,Project,Assignment covering course materials and objectives.,25,2025-03-02,2024-11-21,Draft
ASG000147,SEC000355,ART343,Midterm 3,Presentation,Assignment covering course materials and objectives.,10,2024-07-06,2024-04-12,Active
ASG000148,SEC000036,MUS278,Final 1,Presentation,Assignment covering course materials and objectives.,50,2025-02-28,2024-10-31,Active
ASG000149,SEC000164,MUS358,Midterm 5,Project,Assignment covering course materials and objectives.,10,2025-06-27,2025-05-25,Active
ASG000150,SEC000360,EDUC496,Project 8,Final,Assignment covering course materials and objectives.,20,2025-10-19,2024-12-08,Active
ASG000151,SEC000225,ENG336,Quiz 3,Presentation,Assignment covering course materials and objectives.,100,2025-06-24,2025-05-23,Active
ASG000152,SEC000148,PHYS347,Quiz 6,Essay,Assignment covering course materials and objectives.,50,2025-07-07,2025-10-13,Active
ASG000153,SEC000121,HIST104,Midterm 4,Quiz,Assignment covering course materials and objectives.,25,2024-06-20,2024-05-02,Draft
ASG000154,SEC000343,CS293,Essay 7,Exam,Assignment covering course materials and objectives.,25,2025-05-07,2025-08-31,Active
ASG000155,SEC000370,PHYS329,Lab 4,Project,Assignment covering course materials and objectives.,10,2025-05-23,2025-07-11,Active
ASG000156,SEC000231,MUS256,Project 1,Essay,Assignment covering course materials and objectives.,100,2025-05-04,2025-02-22,Draft
ASG000157,SEC000070,ART132,Homework 5,Homework,Assignment covering course materials and objectives.,50,2025-06-17,2024-10-07,Draft
ASG000158,SEC000130,ENG333,Homework 2,Essay,Assignment covering course materials and objectives.,50,2025-04-04,2024-10-28,Draft
ASG000159,SEC000198,CS237,Exam 2,Midterm,Assignment covering course materials and objectives.,100,2025-11-09,2024-11-20,Draft
ASG000160,SEC000176,CS508,Exam 6,Essay,Assignment covering course materials and objectives.,25,2024-06-02,2024-09-26,Active
ASG000161,SEC000288,ECON545,Presentation 7,Midterm,Assignment covering course materials and objectives.,20,2025-09-16,2024-07-01,Active
ASG000162,SEC000238,MUS507,Exam 3,Presentation,Assignment covering course materials and objectives.,50,2025-09-22,2024-10-04,Active
ASG000163,SEC000222,PSYC215,Homework 2,Essay,Assignment covering course materials and objectives.,25,2024-04-16,2024-08-21,Active
ASG000164,SEC000225,ENG336,Project 7,Final,Assignment covering course materials and objectives.,100,2024-08-11,2024-08-30,Active
ASG000165,SEC000104,ECON225,Final 7,Exam,Assignment covering course materials and objectives.,20,2025-01-01,2025-10-24,Active
ASG000166,SEC000217,BUS392,Final 7,Exam,Assignment covering course materials and objectives.,100,2025-02-26,2025-03-17,Active
ASG000167,SEC000031,NURS185,Project 6,Presentation,Assignment covering course materials and objectives.,25,2025-05-24,2024-10-02,Active
ASG000168,SEC000287,ART182,Lab 4,Midterm,Assignment covering course materials and objectives.,10,2025-12-23,2024-11-08,Active
ASG000169,SEC000211,ENG247,Exam 8,Project,Assignment covering course materials and objectives.,25,2024-01-05,2025-10-25,Draft
ASG000170,SEC000017,BUS310,Homework 2,Exam,Assignment covering course materials and objectives.,50,2025-02-26,2024-10-19,Draft
ASG000171,SEC000326,BUS526,Homework 7,Quiz,Assignment covering course materials and objectives.,25,2025-09-11,2024-02-07,Active
ASG000172,SEC000004,ART182,Homework 2,Presentation,Assignment covering course materials and objectives.,50,2024-12-30,2025-11-12,Active
ASG000173,SEC000159,CHEM329,Essay 5,Project,Assignment covering course materials and objectives.,10,2024-02-25,2024-04-08,Draft
ASG000174,SEC000266,HIST522,Lab 7,Exam,Assignment covering course materials and objectives.,50,2024-11-01,2025-10-28,Active
ASG000175,SEC000003,ECON554,Essay 3,Exam,Assignment covering course materials and objectives.,25,2025-11-12,2025-11-21,Draft
ASG000176,SEC000352,HIST249,Project 1,Midterm,Assignment covering course materials and objectives.,20,2024-06-10,2024-04-21,Draft
ASG000177,SEC000204,MATH497,Essay 7,Quiz,Assignment covering course materials and objectives.,10,2025-04-03,2024-03-01,Draft
ASG000178,SEC000385,ECON143,Quiz 2,Midterm,Assignment covering course materials and objectives.,10,2024-08-06,2025-11-16,Active
ASG000179,SEC000001,MUS101,Exam 6,Homework,Assignment covering course materials and objectives.,10,2025-02-20,2024-10-03,Active
ASG000180,SEC000076,EDUC375,Midterm 7,Lab,Assignment covering course materials and objectives.,20,2024-11-13,2025-08-12,Active
ASG000181,SEC000391,EDUC302,Presentation 6,Exam,Assignment covering course materials and objectives.,50,2025-11-20,2025-12-03,Active
ASG000182,SEC000032,BIO111,Essay 4,Lab,Assignment covering course materials and objectives.,50,2025-05-17,2025-11-19,Active
ASG000183,SEC000041,EDUC375,Quiz 7,Homework,Assignment covering course materials and objectives.,20,2025-06-04,2025-01-17,Active
ASG000184,SEC000099,CS267,Final 8,Essay,Assignment covering course materials and objectives.,25,2025-09-05,2025-10-16,Draft
ASG000185,SEC000163,BUS392,Exam 1,Lab,Assignment covering course materials and objectives.,10,2025-11-20,2024-12-18,Active
ASG000186,SEC000084,MUS524,Final 3,Project,Assignment covering course materials and objectives.,10,2024-04-11,2025-02-12,Active
ASG000187,SEC000374,ART182,Project 1,Project,Assignment covering course materials and objectives.,20,2025-09-09,2025-05-21,Draft
ASG000188,SEC000361,PSYC215,Lab 5,Lab,Assignment covering course materials and objectives.,20,2024-08-21,2024-05-28,Active
ASG000189,SEC000177,CHEM524,Midterm 7,Midterm,Assignment covering course materials and objectives.,25,2025-12-25,2024-02-25,Active
ASG000190,SEC000242,ECON323,Midterm 3,Lab,Assignment covering course materials and objectives.,50,2024-10-07,2025-09-27,Draft
ASG000191,SEC000077,CHEM290,Final 4,Lab,Assignment covering course materials and objectives.,10,2025-07-30,2024-01-11,Draft
ASG000192,SEC000231,MUS256,Quiz 1,Homework,Assignment covering course materials and objectives.,100,2025-08-09,2025-03-28,Active
ASG000193,SEC000150,EDUC403,Exam 3,Project,Assignment covering course materials and objectives.,10,2025-01-23,2025-10-13,Active
ASG000194,SEC000068,CHEM309,Quiz 3,Final,Assignment covering course materials and objectives.,20,2025-03-09,2024-12-30,Active
ASG000195,SEC000310,ENG247,Midterm 1,Exam,Assignment covering course materials and objectives.,25,2025-06-12,2025-08-29,Active
ASG000196,SEC000001,MUS101,Essay 6,Midterm,Assignment covering course materials and objectives.,100,2025-08-09,2025-08-04,Active
ASG000197,SEC000186,PSYC463,Final 5,Project,Assignment covering course materials and objectives.,25,2025-11-25,2024-12-25,Draft
ASG000198,SEC000180,MUS318,Quiz 3,Project,Assignment covering course materials and objectives.,25,2024-07-28,2024-09-28,Active
ASG000199,SEC000029,PHYS266,Midterm 1,Final,Assignment covering course materials and objectives.,10,2025-02-28,2025-10-29,Active
ASG000200,SEC000037,MUS103,Project 6,Lab,Assignment covering course materials and objectives.,20,2024-11-26,2025-04-05,Active
ASG000201,SEC000167,CHEM241,Homework 8,Project,Assignment covering course materials and objectives.,10,2024-06-08,2025-06-19,Active
ASG000202,SEC000038,ENG430,Quiz 2,Exam,Assignment covering course materials and objectives.,50,2024-11-11,2025-10-14,Active
ASG000203,SEC000049,NURS296,Final 2,Essay,Assignment covering course materials and objectives.,25,2024-09-25,2025-05-22,Active
ASG000204,SEC000393,MUS278,Midterm 8,Homework,Assignment covering course materials and objectives.,50,2024-02-29,2025-01-13,Active
ASG000205,SEC000228,ART482,Homework 6,Homework,Assignment covering course materials and objectives.,50,2024-05-13,2025-01-29,Active
ASG000206,SEC000095,NURS409,Midterm 7,Exam,Assignment covering course materials and objectives.,25,2025-12-31,2025-11-03,Active
ASG000207,SEC000067,HIST104,Presentation 6,Midterm,Assignment covering course materials and objectives.,20,2024-01-04,2025-05-22,Active
ASG000208,SEC000131,NURS141,Midterm 1,Midterm,Assignment covering course materials and objectives.,100,2025-09-28,2025-10-18,Active
ASG000209,SEC000226,BUS526,Final 8,Midterm,Assignment covering course materials and objectives.,25,2024-06-15,2025-12-18,Active
ASG000210,SEC000318,BIO489,Presentation 4,Presentation,Assignment covering course materials and objectives.,100,2024-04-21,2025-06-15,Active
ASG000211,SEC000186,PSYC463,Lab 5,Quiz,Assignment covering course materials and objectives.,100,2025-07-12,2025-11-20,Active
ASG000212,SEC000260,CHEM148,Essay 8,Exam,Assignment covering course materials and objectives.,100,2024-06-18,2025-02-13,Active
ASG000213,SEC000381,PHYS456,Homework 2,Presentation,Assignment covering course materials and objectives.,25,2024-04-17,2024-11-19,Active
ASG000214,SEC000085,PSYC562,Midterm 5,Midterm,Assignment covering course materials and objectives.,100,2025-05-20,2024-04-11,Active
ASG000215,SEC000330,CS198,Essay 4,Project,Assignment covering course materials and objectives.,20,2024-03-13,2025-10-25,Draft
ASG000216,SEC000294,ENG314,Project 2,Project,Assignment covering course materials and objectives.,25,2025-05-21,2024-12-03,Draft
ASG000217,SEC000033,HIST485,Presentation 2,Midterm,Assignment covering course materials and objectives.,50,2025-01-04,2025-10-07,Active
ASG000218,SEC000073,NURS238,Quiz 1,Homework,Assignment covering course materials and objectives.,10,2024-06-24,2025-05-25,Draft
ASG000219,SEC000158,CS566,Essay 8,Homework,Assignment covering course materials and objectives.,10,2024-12-25,2024-05-03,Active
ASG000220,SEC000167,CHEM241,Project 1,Presentation,Assignment covering course materials and objectives.,20,2024-04-07,2025-09-20,Active
ASG000221,SEC000170,BUS307,Project 8,Presentation,Assignment covering course materials and objectives.,100,2024-08-01,2024-06-23,Draft
ASG000222,SEC000325,NURS238,Exam 8,Lab,Assignment covering course materials and objectives.,50,2024-07-10,2024-07-02,Draft
ASG000223,SEC000264,ENG148,Midterm 6,Project,Assignment covering course materials and objectives.,10,2024-03-19,2024-12-22,Active
ASG000224,SEC000343,CS293,Lab 4,Final,Assignment covering course materials and objectives.,50,2024-05-17,2025-11-03,Active
ASG000225,SEC000228,ART482,Essay 8,Project,Assignment covering course materials and objectives.,10,2024-11-13,2025-10-28,Active
